省份,城市,城市url,新房url,二手房url
湖北,荆州,http://jingzhou.fang.com/,http://jingzhou.newhouse.fang.com//house/s,http://jingzhou.esf.fang.com/
湖北,十堰,http://shiyan.fang.com/,http://shiyan.newhouse.fang.com//house/s,http://shiyan.esf.fang.com/
湖北,黄冈,http://huanggang.fang.com/,http://huanggang.newhouse.fang.com//house/s,http://huanggang.esf.fang.com/
湖北,荆门,http://jingmen.fang.com/,http://jingmen.newhouse.fang.com//house/s,http://jingmen.esf.fang.com/
湖北,随州,http://suizhou.fang.com/,http://suizhou.newhouse.fang.com//house/s,http://suizhou.esf.fang.com/
湖北,恩施,http://enshi.fang.com/,http://enshi.newhouse.fang.com//house/s,http://enshi.esf.fang.com/
湖北,孝感,http://xiaogan.fang.com/,http://xiaogan.newhouse.fang.com//house/s,http://xiaogan.esf.fang.com/
湖北,黄石,http://huangshi.fang.com/,http://huangshi.newhouse.fang.com//house/s,http://huangshi.esf.fang.com/
湖北,鄂州,http://ezhou.fang.com/,http://ezhou.newhouse.fang.com//house/s,http://ezhou.esf.fang.com/
湖北,咸宁,http://xianning.fang.com/,http://xianning.newhouse.fang.com//house/s,http://xianning.esf.fang.com/
湖北,仙桃,http://xiantao.fang.com/,http://xiantao.newhouse.fang.com//house/s,http://xiantao.esf.fang.com/
